 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
      6.616854  2.788024 12.594077     0.005716    0.000000    0.019301  
      2.299255  0.929341 12.441442     0.003591    0.000000    0.023590  
     11.201891  2.788024 12.594295     0.001666   -0.000000   -0.018577  
     12.978330  0.929341 11.777452     0.008178    0.000000    0.031166  
      4.075984  2.788024 13.259029     0.013766   -0.000000   -0.032447  
      4.839461  0.929341 11.777088     0.006250   -0.000000   -0.033749  
     13.741567  2.788024 13.259193     0.009596    0.000000    0.029690  
      8.907040  0.929341 12.370505    -0.022107    0.000000   -0.001046  
      0.005627  2.788024 12.664576    -0.025646   -0.000000   -0.001711  
     14.311903  2.788024 10.580802     0.006395   -0.000000   -0.006631  
      5.409563  0.929341 14.455386     0.005937    0.000000    0.006624  
     10.693180  0.929341 10.562509     0.002033   -0.000000    0.006584  
      1.790519  2.788024 14.473367     0.003286    0.000000   -0.010379  
      3.506921  2.788024 10.580402     0.008213   -0.000000    0.005750  
     12.408767  0.929341 14.455686     0.007072    0.000000   -0.005164  
      7.123465  0.929341 10.561065     0.003532    0.000000   -0.005059  
     16.025723  2.788024 14.474552     0.004093    0.000000    0.006636  
      0.007149  0.929341 10.898066    -0.034204    0.000000    0.002096  
      8.908990  2.788024 14.136629    -0.030598   -0.000000   -0.002620  
 
  19 f  =    5.103747 THz    32.067786 2PiTHz  170.242665 cm-1    21.107391 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.000000    0.001102    0.000000  
